fullname,type,description
plan_id,INTEGER,Plan ID. A 7 digit integer. It refers to an optimization plan.
store_nbr,INTEGER,Store number
prime_item_nbr,INTEGER,Prime item number
WM_YEAR_WK_NBR,INTEGER,Plan week. A week in which plan was active. Year-week number in yyyyww fromat.
wm_year_wk_plan_start,DATE,Plan-week start date
wm_year_wk_plan_end,DATE,Plan-week end date
dept_nbr,INTEGER,Department number. A double digit integer. It refers to a department.
dept_catg_nbr,INTEGER,Department category number
fineline_nbr,INTEGER,Fineline number
plan_create_dt,DATE,Plan created date in yyyy-mm-dd format.
out_of_stk_ts,TIMESTAMP,Out Of Stock timestamp in yyyy-mm-dd HH:MM:SS UTC format.
plan_type_desc,STRING,Plan type (descriptive)
plan_nm_desc,STRING,Plan name (descriptive)
model_nm,STRING,Model name
model_id,STRING,Model ID
update_ts,DATE,Update date
exec_ts_g1,TIMESTAMP,Gate 1 - plan execution timestamp
eff_ts_g1,TIMESTAMP,Gate 1 - plan effective timestamp
gate_min_dt_g1,DATE,Gate 1 minimum (start) date
gate_max_dt_g1,DATE,Gate 1 maximum (end) date
gate_max_wk_end_g1,DATE,Gate 1 end week end date
rpt_end_dt_g1,DATE,Gate 1 report end date
exec_ts_g2,TIMESTAMP,Gate 2 - plan execution timestamp
eff_ts_g2,TIMESTAMP,Gate 2 - plan effective timestamp
gate_min_dt_g2,DATE,Gate 2 minimum (start) date
gate_max_dt_g2,DATE,Gate 2 maximum (end) date
gate_max_wk_end_g2,DATE,Gate 2 end week end date
rpt_end_dt_g2,DATE,Gate 2 report end date
plan_storeitem_rpt_start_dt,DATE, 
plan_storeitem_rpt_end_dt,DATE, 
plan_storeitem_target_end_dt,DATE, 
executed_min_gate,INTEGER, 
dsop_min_gate,INTEGER, 
plan_rpt_start_dt,DATE, 
plan_rpt_end_dt,DATE, 
plan_target_end_dt,DATE, 
SBU,STRING,SBU name
dept_desc,STRING,Department description
dept_catg_desc,STRING,Department category description
curr_rtl,FLOAT,Current retail price
ho_rtl,FLOAT, 
mkdn_prior_price,FLOAT,markdown prior price. Retail price before markdown.
input_ho_rcmd_rtl,FLOAT, 
md_rtl_g1,FLOAT,Gate 1 markdown price. Retail price on markdown at gate 1. It is equal to the current retail price if the week end date falls in between gate 1 start and end date.
md_rtl_g2,FLOAT,Gate 2 markdown price. Retail price on markdown at gate 2. It is equal to the current retail price if the week end date falls in between gate 2 start and end date. Gate 2 starts after gate 1 ends.
sales_unit_qty,NUMERIC,Sales quantity (units) at the end of the week.
sales_amt,NUMERIC,Sales amount (dollars) at the end of the week.
on_hand_qty_start,INTEGER,Starting on-hands quantity/ inventory (units) at the start of the week.
md_ho_doll,NUMERIC, 
md_ho_qty,NUMERIC, 
md_st_doll,NUMERIC, 
md_ho_prev_rtl_amt,NUMERIC, 
on_hand_qty_end,INTEGER,Ending on-hands quantity/ inventory (units) at the end of the week.
plan_completed,BOOLEAN,Is plan completed.
plan_start_wk,INTEGER,Plan start year-week
plan_on_hand_qty_start,INTEGER, 
plan_on_hand_qty_end,INTEGER, 
plan_wk_nbr,INTEGER,Plan running week number starting at 1
plan_total_sales_unit_qty,NUMERIC, 
plan_on_hand_qty_start_adj,NUMERIC, 
