fullname,type,description
Relay_Scenario_Name,STRING,optimization run unique ID
modlr_dept_nbr,INTEGER,mod department number
modlr_catg_nbr,INTEGER,mod category number
planogram_or_store,STRING,planogram unique ID (in case of a planogram optimization run) or store number
fixture_type,STRING,"roll-up grouping (a physical display case, e.g., shelf, etc.)"
total_comp_shelf_width,FLOAT,total shelf width in inches
rollup_id,INTEGER,roll-up unique ID
status_name,STRING,"recommendation - can be 'add', 'delete', 'maintain' or 'not added'"
rec_facings,INTEGER,recommended number of facings for the roll-up at a store in the proposed mod
cur_facings,INTEGER,number of facings for the roll-up in the current mod
facing_width,FLOAT,facing width in inches
on_mod_subs_count,INTEGER,number of substitutes of the roll-up present on the current mod
demand_transferred_to_subs_on_mod,FLOAT,fractional demand transferred to substitutes in case of a 'delete' recommendation
total_subs_count,INTEGER,overall total number of substitutes of the roll-up
linear_nominal_dem,STRING,demand (units)
do_not_carry_list,BOOLEAN,indicator of a global constraint
global_deletes,BOOLEAN,indicator of a global constraint
protect_list,BOOLEAN,indicator of a protect strategy
max_on_max_dos_constraint_75p,FLOAT,second level ceiling constraint for DoS
max_dos_constraint_50p,FLOAT,first level ceiling constraint for DoS
min_dos_constraint_1p,FLOAT,floor constraint for DoS
dos_rec_facings,FLOAT,calculated DoS at recommended facings
dos_facings_horizontal,FLOAT,
facings_needed_for_pnh,INTEGER,facings needed to satisfy PnH constraint
dos_pnh_facings,FLOAT,calculated DoS at facings equal to facings_needed_for_pnh
pnh_rec_facings,FLOAT,stock quantity at recommended facings expressed as a multiple of PnH
pnh_cur_facings,FLOAT,stock quantity at current facings expressed as a multiple of PnH
forecasted_units,FLOAT,units forecast
forecast_revenue,FLOAT,reveneue forecast
lower_bound_facing_count,INTEGER,minimum number of allowed facings
upper_bound_facing_count,INTEGER,maximum number of allowed facings
store_costs_pct,STRING,
lost_sales_pct,STRING,
sum_nominal_dem,STRING,
nominal_demand_facing,INTEGER,? this is the cutting point for the nominal demand curve
nominal_demand_per_inch,FLOAT,demand by width (also called productivity)
productivity_percentile_rank,FLOAT,? Is it different from productivity rank?
jobId,STRING,job ID of the optimization run
is_intuitive,INTEGER,
facing_max_out,INTEGER,"maxed out on facings because:
1. recommended facings reached a cut off point (no more incrementality after this) or,
2. adding more facings incurs more DoS penalty or exceeds total shelf width or,
3. if status is 'not added' then any number of facings incur either PnH or DoS penalty or,
4. it is a force delete"
is_dos_violated,INTEGER,indicator of a DoS constraint violation
is_sub_avail,INTEGER,is a subtitute available
NO_REC_BELOW,INTEGER,
ALL_BETTER_ITEMS_MAX_OUT,BOOLEAN,All items above in rank max out on facings
contribution_forecast_revenue,FLOAT,(1 - percentile) in the cumulative distribution of revenue forecast (lower is better)
contribution_forecasted_units,FLOAT,(1 - percentile) in the cumulative distribution of units forecast (lower is better)
contribution_nominal_demand_per_inch,FLOAT,(1 - percentile) in demand per inch cumulative distribution (lower is better)
Finer_Reason,STRING,Details on the broad reason for the recommendation
Broader_Reason,STRING,Broad reason for the recommendation
rollup_desc,STRING,roll-up name/ description
productivity_percentile,FLOAT,percentile in the cumulative productivity distribution of PoDs (higher is better)
productivity_rank,INTEGER,rank based on the productivity percentile
BELOW_REC_ARE_BETTER,INTEGER,"for deletes, the productivity (considering DoS penalties) at PnH facings is worse than the productivity of any recommended items  below in rank (considering their pnh and dos penalties)"
change_in_mod_pct,FLOAT,"only applicable for planogram optimization - for each rollup-planogram pair, the percent of stores in add or delete status"
cur_mod_demand_contribution,FLOAT,"a measure of the contrubution of items currently on mod, calculated  at store/ planogram and fixture type level. It is derived as cummulative sum of normlalized demand by total demand, providing insight into how these items contribute to the overall demand in a store/ fixture setup."
cur_mod_demand_percent_rank,FLOAT,"for current mod PoDs, the percentile rank of the items in the store or planogram. Used for 80% rule when protect by ""count""."
facings_horizontal,INTEGER,"raw facings_horizontal from HOCO, could be nonzero when not on current mod. The dos constraint percentiles are calculated based on facings_horizontal."
forecast_profits,FLOAT,profits forecast
nominal_demand_coef,FLOAT,
nominal_demand_intercept,FLOAT,
normalized_demand,FLOAT,normalized demand
one_facing_wide_capacity,FLOAT,stock quantity at one facing
store_on_mod_pct,FLOAT,only applicable for planogram oprimization runs - percentage of on-mod in stores
warehouse_pack_quantity,INTEGER,pack size (units)
mod_length_wks,INTEGER,mod length in weeks
rollup_fcst_usw,FLOAT,units per store per week forecast
rollup_usw_rank,INTEGER,"Ranking of an item across all the stores at the national level, based on its units sold per store per week (forecast)"
cur_mod_fcst_usw_contribution,FLOAT,Contribution in terms of units per store per week for current mod item using forecasts
overall_fcst_demand_contribution,FLOAT,"demand contribution using business-style calculation for all items (cur mod, NTS, NTW items)"
overall_fcst_usw_contribution,FLOAT,Contribution in terms of units per store per week for all the item using forecasts
rec_units,FLOAT,Recommended units
rec_sales,FLOAT,Recommended sales
rec_profits,FLOAT,Recommended profits
lst52_upspw,FLOAT,Last 52 week actuals units per store per week
lst52_actls,FLOAT,actuals last 52 weeks units
rollup_actuals_usw_rank,INTEGER,"Ranking of an item across all the stores at the national level, based on its units sold per store per week (actuals)"
cur_mod_actuals_usw_contribution,FLOAT,Contribution in terms of units per store per week for current mod item using last year 52 week actuals
overall_actuals_usw_contribution,FLOAT,Contribution in terms of units per store per week for all the tem using  last year 52 week actuals
fineline,STRING,fineline name
brand,STRING,brand name
vendor,STRING,vendor name
higher_performing_sub,STRING,"higher performing substitute name/ description, if any"
do_nothing_profits,FLOAT,Base forecast profit for current mod items ( used to report financials)
