fullname,description,type
plan_id,"Plan ID. Sent by CMD (short for Category MarkDown) team. Common aliases are e.g., plan, plan number, plan nbr, plan num, plan no., etc.",INTEGER
prime_item,"Item number. Common aliases are e.g., item, item nbr, item num, item no., etc.",INTEGER
store,"Store number. Common aliases are e.g., store nbr, store num, store no., etc.",INTEGER
SIC,"Store Item Combination. Concatenation of store number and item number separated by a hyphen. Common aliases are e.g., store-items, sics etc.",
dept,"Department number. Common aliases are e.g., department, dept number, dept nbr, dept num, dept no., etc.",INTEGER
gate_nbr,"Gate number. Can be 1 or 2. Common aliases are e.g., gate, gate nbr, gate num, gate no, review, etc.",INTEGER
gate_dt,"Gate date. The date a plan is adopted. Common aliases are e.g., review date, review dt, adoption dt, etc.",DATE
prev_gate_dt,"Previous gate date (from the previous plan revision). Common aliases are e.g., previous review date, prev review dt, prev adoption dt, etc.",DATE
OOS_Dt,"Out of stock date. Common aliases are e.g., OOS date, gate effective date, effective dt, etc.",DATE
prev_OOS_Dt,"Previous out of stock date (from the previous plan revision). Common aliases are e.g., previous OOS date, prev gate effective date, prev effective dt, etc.",DATE
proj_inv_at_gate,"Projected On Hands quantity at gate/ review date. Common alises are e.g., projected inventory, projected OH, proj inv, proj quantity, proj oh qty, starting inventory, starting inv, inventory, inv, etc.",NUMERIC
Daily_avg_unit_sales,"Average daily units sold. Common aliases are e.g., average sales, avg sale, avg units sold, daily sale, avg sale per day etc.",NUMERIC
current_price,"Original price. This price is set for a pricing group. This is the price before markdown/ discount. Common aliases are e.g., markdown prior price, mkdn prior price, group price, etc.",NUMERIC
markdown_recommended_price,"Recommended retail price. This is the price after markdown. Common aliases are e.g., markdown price, mkdn price, discounted price, etc.",NUMERIC
sales_post_md,"Units sold post markdown (after gate date) at the recommended retail price. Common aliases are e.g., sale, sales, units sold, gate sales, projected sale, proj gate sale, etc.",NUMERIC
target_str,"Target STR (Sell Through Rate). Common aliases are e.g., target sell through, etc.",NUMERIC
prev_target_str,"Target STR (Sell Through Rate) (from previous plan revision). Common aliases are e.g., prev target sell through, etc.",NUMERIC
discount_range,"Discretization of discount into bins of uniform width. By default the width is 0.1. Null and zero discount together are treated as a separate bin. Common aliases are e.g., discount bins, discount buckets, markdown percent range, markdown range, mkdn pct bins, mkdn buckets, discount, mkdn %, mkdn, etc.",FLOAT
prev_discount_range,"Previous discount range (from previous plan revision). Common aliases are e.g., previous discount bins, prev discount buckets, previous markdown percent range, prev markdown range, prev mkdn pct bins, prev mkdn buckets, prev discount, prev mkdn %, prev mkdn, etc.",FLOAT
STR_range,"Discretization of STR (Sell Through Rate) into bins of uniform width. By default the width is 0.1. Null and zero STR together are treated as a separate bin. Common aliases are e.g., STR bins, STR buckets, str, etc.",FLOAT
prev_STR_range,"Previous STR range (from previous plan revision). Common aliases are e.g., previous STR bins, prev STR buckets, prev str, etc.",FLOAT
status,"Status of the plan. Can be 'approved' or 'created'. Common aliases are e.g., approval, approval status, is approved, is not approved, are yet to be approved, etc.",STRING
markdown_reason,"Optimizer recommendation reason code. A summary of plan optimization results. Common aliases are e.g., mkdn reason, optimizer reason, opt reason, optimization, optimizer failure, optimization success, opt failure reason, etc. (followed by a description of the markdown reason)",STRING
prev_markdown_reason,"Previous reason code for optimizer recommendation (from previous plan revision). Common aliases are e.g., previous mkdn reason, prev optimizer reason, opt prev reason, prev optimization, prev optimizer failure, prev optimization success, prev opt failure reason, etc. (followed by a description of the markdown reason code)",STRING
year_num,Year number of latest plan creation timestamp in 'YYYY' format.,INTEGER
week_year,"Concatenation of week number and year number of the latest plan creation timestamp separated by a hyphen. Common aliases are e.g., week, wk, week no., week year, wk yr.",STRING
month_year,"Concatenation of month number and year number of the latest plan creation timestamp separated by a hyphen. Common aliases are e.g., month, mth, mth no., month year, mth yr.",STRING
latest_created_timestamp,"Latest plan revision creation timestamp. Common aliases are e.g., plan creation time, plan creation, plan created, plan revision date, plan revision, plan revised, plan run, plan date, etc.",TIMESTAMP
prev_created_timestamp,"Previous plan revision creation timestamp. Common aliases are e.g., previous plan creation time, plan prev creation, prev plan created, prev plan revision date, plan prev  revision, prev plan revised, prev plan run, prev plan date, etc.",TIMESTAMP
days_before_review,Number of days between gate date and latest plan creation timestamp.,INTEGER
