fullname,description,type
plan_id,Plan id as sent by CMD team.,INTEGER
prime_item,Prime item number. Same as item number.,INTEGER
store,Store number.,INTEGER
dept,Dept number. Also called department.,INTEGER
gate_dt,Gate date. The date a plan is adopted.,DATE
gate_nbr,Gate number. Can be 1 or 2.,INTEGER
OOS_Dt,Out of stock date.,DATE
curent_oh,On hands quantity. Also called inventory.,INTEGER
proj_inv_at_gate,Projected On hands quantity for a given date. Also called estimated or expected starting inventory.,NUMERIC
Daily_avg_unit_sales,Avg sales unit quantity.,NUMERIC
current_price,Original price (of the group) used for discounting. This is the price before markdown. Also called markdown prior price.,NUMERIC
markdown_recommended_price,Recommended retail price. This is the price after markdown. Also called markdown price or discounted price.,NUMERIC
sales_post_md,Item sold unit at the recommended price. Also called estimated or expected sales.,NUMERIC
elasticity_val,Item elasticity at the recommended price.,NUMERIC
min_price_point,Minimum feasible price based on Min disc percentage Min disc dollar amount and rounding rules.,NUMERIC
max_price_point,Maximum feasible price based on Max disc percentage Max disc dollar amount and rounding rules.,NUMERIC
dol_mkdn,Dollar markdown. The difference of markdown prior price and the markdown price.,NUMERIC
mkdn_pct,Markdown percent. Dollar markdown as a fraction of the markdown prior price. Also called discount or just markdown.,NUMERIC
markdown_spend,Markdown spend. Dollar markdown times the starting inventory.,NUMERIC
wt_mkdn_pct,Weighted markdown percent. Markdown percent times the starting inventory. Also called wt. discount or wt. markdown.,NUMERIC
str,Sell Through Rate (STR). The ratio of units sold and starting inventory. Also called just sell through.,NUMERIC
target_str,Target STR (Sell Through Rate). Also called target sell through.,NUMERIC
gmv,Gross Merchandize Volume (GMV). Units sold times the markdown price.,NUMERIC
irv,Initital Retail Value (IRV). Starting inventory times the markdown prior price.,NUMERIC
discount_range,Discretization of discount into bins of uniform width. By default the width is 0.1. Null and zero discount together are treated as a separate bin. Also called discount bins/ buckets or markdown percent range/ bins/ buckets or just markdown range/ bins/ buckets.,FLOAT
STR_range,Discretization of STR (Sell Through Rate) into bins of uniform width. By default the width is 0.1. Null and zero STR together are treated as a separate bin. Also called STR bins/ buckets or sell through range/ bins/ buckets.,FLOAT
markdown_reason,Optimizer recommendation reason code.,STRING
week_num,week number of plan timestamp,INTEGER
month_num,month number of plan timestamp,INTEGER
year_num,year number of plan timestamp,INTEGER
week_year,concatenation of week and year number of plan timestamp separated by a hyphen. Also called wk yr.,STRING
month_year,concatenation of month and year number of plan timestamp separated by a hyphen. Also called mth yr or mnth yr.,STRING
latest_created_timestamp,plan timestamp,TIMESTAMP
